ID;NR;WOJ;POW;MI;NAZWA;ERR
13245;SG045-285;łódzkie;Wieluń;Załęcze Małe;Działka budowlana na sprzedaż Załęcze Małe;brak lokalizacji łódzkie, Wieluń, Załęcze Małe
13259;SG032-1387;warmińsko-mazurskie;ełckie;Skomack Wielki;Działka budowlana na sprzedaż Skomack Wielki;brak lokalizacji warmińsko-mazurskie, ełckie, Skomack Wielki
13313;SG045-227;łódzkie;wieluński;Kępowizna;Działka rekreacyjna na sprzedaż Kępowizna;brak lokalizacji łódzkie, wieluński, Kępowizna
13760;WL,WO144-290;podlaskie;suwalski;Suwałki;na wynajem Lokal Suwałki, os. Hańcza;brak lokalizacji podlaskie, suwalski, Suwałki
13981;SG087-498;pomorskie;tczewski;Zabagno;Działka budowlana na sprzedaż Zabagno, Swarożyn;brak lokalizacji pomorskie, tczewski, Zabagno
14264;SG045-976;łódzkie;wieluński;Widoradz Górny;Grunt inwestycyjny na sprzedaż Widoradz Górny;brak lokalizacji łódzkie, wieluński, Widoradz Górny
14410;SG053-739;małopolskie;tarnowski;Tarnów;Grunt inwestycyjny na sprzedaż Tarnów;miasto (Tarnów) znalezionej lokazizacji nie pasuje (Łęg Tarnowski) - lokalizacja małopolskie, tarnowski, Tarnów
14686;SL150-427;dolnośląskie;wrocławski;Wrocław;Lokal handlowy na sprzedaż Wrocław, Psie Pole;miasto (Wrocław) znalezionej lokazizacji nie pasuje (Kamieniec Wrocławski) - lokalizacja dolnośląskie, wrocławski, Wrocław
14847;SO,WL,WO144-361;podlaskie;suwalski;Suwałki;Magazyn na sprzedaż Suwałki;brak lokalizacji podlaskie, suwalski, Suwałki
15567;SO015-6284;dolnośląskie;jeleniogórski;Jelenia Góra;Hotel na sprzedaż Jelenia Góra;brak lokalizacji dolnośląskie, jeleniogórski, Jelenia Góra
16419;SG144-9;podlaskie;suwalski;Suwałki;Grunt rolny na sprzedaż Suwałki, Remienkiń;brak lokalizacji podlaskie, suwalski, Suwałki
16474;SG154-558;kujawsko-pomorskie;golubsko-dobrzyński;Radziki Małe;Grunt rolny na sprzedaż Radziki Małe;brak lokalizacji kujawsko-pomorskie, golubsko-dobrzyński, Radziki Małe
17067;SG084-4215;łódzkie;piotrkowski;Majkow;Grunt rolny na sprzedaż Majkow, Majków;miasto (Majkow) znalezionej lokazizacji nie pasuje (Majków-Folwark) - lokalizacja łódzkie, piotrkowski, Majkow
17553;SG087-1349;pomorskie;gdański;Gdańsk;Grunt rolny na sprzedaż Gdańsk, Św. Wojciech;miasto (Gdańsk) znalezionej lokazizacji nie pasuje (Pruszcz Gdański) - lokalizacja pomorskie, gdański, Gdańsk
17757;SD152-575;lubuskie;nowosolski;Jesionka;Dom wolnostojący na sprzedaż Jesionka;brak lokalizacji lubuskie, nowosolski, Jesionka
17916;SG084-4183;łódzkie;piotrkowski;Kolonia Zalesice;Grunt rolny na sprzedaż Kolonia Zalesice;miasto (Kolonia Zalesice) znalezionej lokazizacji nie pasuje (Zalesice-Kolonia) - lokalizacja łódzkie, piotrkowski, Kolonia Zalesice
17986;SG144-7;podlaskie;suwalski;Suwałki;Grunt rolny na sprzedaż Suwałki, Rmienkiń;brak lokalizacji podlaskie, suwalski, Suwałki
19445;SO168-238;zachodniopomorskie;inny;Międzyzdroje;Pensjonat na sprzedaż Międzyzdroje;brak lokalizacji zachodniopomorskie, inny, Międzyzdroje
19741;SG079-1858;warmińsko-mazurskie;olecki;Kukówko;Działka budowlana na sprzedaż Kukówko;brak lokalizacji warmińsko-mazurskie, olecki, Kukówko
20018;SG015-6300;dolnośląskie;jeleniogórski;Jelenia Góra;Grunt inwestycyjny na sprzedaż Jelenia Góra;brak lokalizacji dolnośląskie, jeleniogórski, Jelenia Góra
20061;SG087-1408;pomorskie;gdański;Gdańsk;Działka budowlana na sprzedaż Gdańsk, Kolnik;miasto (Gdańsk) znalezionej lokazizacji nie pasuje (Pruszcz Gdański) - lokalizacja pomorskie, gdański, Gdańsk
21036;SO079-1883;warmińsko-mazurskie;olecki;Kukówko;Inny komercyjny na sprzedaż Kukówko;brak lokalizacji warmińsko-mazurskie, olecki, Kukówko
21075;SM158-389;mazowieckie;Radom (grodzki);26-600 Radom;Mieszkanie w budynku mieszkalnym na sprzedaż 26-600 Radom, Centrum;brak lokalizacji mazowieckie, 26-600 Radom
22209;SD158-417;mazowieckie;radomski;Radom;Dom bliźniak na sprzedaż Radom, Idalin;miasto (Radom) znalezionej lokazizacji nie pasuje (Drożanki) - lokalizacja mazowieckie, radomski, Radom
23035;SM079-1907;warmińsko-mazurskie;olecki;Kukówko;Mieszkanie w budynku mieszkalnym na sprzedaż Kukówko, Kukowko;brak lokalizacji warmińsko-mazurskie, olecki, Kukówko
24288;SG144-478;podlaskie;suwalski;Gawrych-Ruda;Grunt rolny na sprzedaż Gawrych-Ruda;miasto (Gawrych-Ruda) znalezionej lokazizacji nie pasuje (Gawrych Ruda) - lokalizacja podlaskie, suwalski, Gawrych-Ruda
24408;SD146-1355;wielkopolskie;leszczyński;Leszno;Dom bliźniak na sprzedaż Leszno;brak lokalizacji wielkopolskie, leszczyński, Leszno
24476;WO087-1460;pomorskie;gdański;Gdańsk;Hala produkcyjna na wynajem Gdańsk, Kolnik;miasto (Gdańsk) znalezionej lokazizacji nie pasuje (Pruszcz Gdański) - lokalizacja pomorskie, gdański, Gdańsk
27254;WL144-479;podlaskie;suwalski;Suwałki;Lokal biurowy na wynajem Suwałki;brak lokalizacji podlaskie, suwalski, Suwałki
27360;SG150-291;dolnośląskie;wrocławski;Wrocław;Działka budowlana na sprzedaż Wrocław;miasto (Wrocław) znalezionej lokazizacji nie pasuje (Kamieniec Wrocławski) - lokalizacja dolnośląskie, wrocławski, Wrocław
27428;SG144-86;podlaskie;suwalski;Gawrych-Ruda;Działka budowlana na sprzedaż Gawrych-Ruda, Gawrych Ruda;miasto (Gawrych-Ruda) znalezionej lokazizacji nie pasuje (Gawrych Ruda) - lokalizacja podlaskie, suwalski, Gawrych-Ruda
27429;SG144-85;podlaskie;suwalski;Gawrych-Ruda;Działka budowlana na sprzedaż Gawrych-Ruda, Gawrych Ruda;miasto (Gawrych-Ruda) znalezionej lokazizacji nie pasuje (Gawrych Ruda) - lokalizacja podlaskie, suwalski, Gawrych-Ruda
27526;SO144-89;podlaskie;suwalski;Stary Folwark;Pensjonat na sprzedaż Stary Folwark, obręb Leszczewek;brak lokalizacji podlaskie, suwalski, Stary Folwark
27558;SD144-14;podlaskie;suwalski;Suwałki;Dom w zabudowie szeregowej na sprzedaż Suwałki, os. Północ;brak lokalizacji podlaskie, suwalski, Suwałki
27563;SL150-421;dolnośląskie;wrocławski;Wrocław;Lokal handlowy na sprzedaż Wrocław, Krzyki;miasto (Wrocław) znalezionej lokazizacji nie pasuje (Kamieniec Wrocławski) - lokalizacja dolnośląskie, wrocławski, Wrocław
27694;WM144-143;podlaskie;Suwałki (grodzki);Stary Folwark;Pokój na wynajem Stary Folwark, gm. Suwałki;brak lokalizacji podlaskie, Stary Folwark
27821;SO144-414;podlaskie;suwalski;Suwałki;Inny komercyjny na sprzedaż Suwałki, Centrum;brak lokalizacji podlaskie, suwalski, Suwałki
27828;SD150-478;dolnośląskie;wrocławski;Wrocław;Dom wolnostojący na sprzedaż Wrocław;miasto (Wrocław) znalezionej lokazizacji nie pasuje (Kamieniec Wrocławski) - lokalizacja dolnośląskie, wrocławski, Wrocław
27831;SL150-428;dolnośląskie;wrocławski;Wrocław;Lokal handlowy na sprzedaż Wrocław, Psie Pole;miasto (Wrocław) znalezionej lokazizacji nie pasuje (Kamieniec Wrocławski) - lokalizacja dolnośląskie, wrocławski, Wrocław
27894;SL150-614;dolnośląskie;wrocławski;Wrocław;Lokal usługowy na sprzedaż Wrocław, Stare Miasto;miasto (Wrocław) znalezionej lokazizacji nie pasuje (Kamieniec Wrocławski) - lokalizacja dolnośląskie, wrocławski, Wrocław
27921;SD144-462;podlaskie;suwalski;Gawrych-Ruda;Dom wolnostojący na sprzedaż Gawrych-Ruda, gm. Suwałki;miasto (Gawrych-Ruda) znalezionej lokazizacji nie pasuje (Gawrych Ruda) - lokalizacja podlaskie, suwalski, Gawrych-Ruda
27930;SG150-684;dolnośląskie;wrocławski;Wrocław;Grunt inwestycyjny na sprzedaż Wrocław;miasto (Wrocław) znalezionej lokazizacji nie pasuje (Kamieniec Wrocławski) - lokalizacja dolnośląskie, wrocławski, Wrocław
28135;SG150-683;dolnośląskie;wrocławski;Wrocław;Grunt inwestycyjny na sprzedaż Wrocław;miasto (Wrocław) znalezionej lokazizacji nie pasuje (Kamieniec Wrocławski) - lokalizacja dolnośląskie, wrocławski, Wrocław
28139;SG181-69;małopolskie;miechowski;Charsznica-Miechów;Grunt inwestycyjny na sprzedaż Charsznica-Miechów;miasto (Charsznica-Miechów) znalezionej lokazizacji nie pasuje (Miechów-Charsznica) - lokalizacja małopolskie, miechowski, Charsznica-Miechów
28256;SG102-2915;warmińsko-mazurskie;olsztyński;Wojtkowizna;Grunt rolny na sprzedaż Wojtkowizna;brak lokalizacji warmińsko-mazurskie, olsztyński, Wojtkowizna
28600;SD146-1373;wielkopolskie;leszczyński;Leszno;Dom bliźniak na sprzedaż Leszno;brak lokalizacji wielkopolskie, leszczyński, Leszno
28610;SD146-1365;wielkopolskie;leszczyński;Leszno;Dom bliźniak na sprzedaż Leszno;brak lokalizacji wielkopolskie, leszczyński, Leszno
28611;SD146-1364;wielkopolskie;leszczyński;Leszno;Dom bliźniak na sprzedaż Leszno;brak lokalizacji wielkopolskie, leszczyński, Leszno
28670;WL144-480;podlaskie;suwalski;Suwałki;Lokal biurowy na wynajem Suwałki;brak lokalizacji podlaskie, suwalski, Suwałki
28677;SG144-477;podlaskie;suwalski;Gawrych-Ruda;Grunt rolny na sprzedaż Gawrych-Ruda;miasto (Gawrych-Ruda) znalezionej lokazizacji nie pasuje (Gawrych Ruda) - lokalizacja podlaskie, suwalski, Gawrych-Ruda
28682;SG144-476;podlaskie;suwalski;Gawrych-Ruda;Działka budowlana na sprzedaż Gawrych-Ruda;miasto (Gawrych-Ruda) znalezionej lokazizacji nie pasuje (Gawrych Ruda) - lokalizacja podlaskie, suwalski, Gawrych-Ruda
28683;SG144-475;podlaskie;suwalski;Gawrych-Ruda;Działka budowlana na sprzedaż Gawrych-Ruda;miasto (Gawrych-Ruda) znalezionej lokazizacji nie pasuje (Gawrych Ruda) - lokalizacja podlaskie, suwalski, Gawrych-Ruda
28699;SL144-470;podlaskie;suwalski;Suwałki;Lokal usługowy na sprzedaż Suwałki, Centrum;brak lokalizacji podlaskie, suwalski, Suwałki
28875;SD144-385;podlaskie;suwalski;Suwałki;Dom w zabudowie szeregowej na sprzedaż Suwałki, os. Północ;brak lokalizacji podlaskie, suwalski, Suwałki
28891;SD144-353;podlaskie;suwalski;Suwałki;Dom wolnostojący na sprzedaż Suwałki, Zielona Górka;brak lokalizacji podlaskie, suwalski, Suwałki
28915;SO087-1244;pomorskie;gdański;Gdańsk;Hala produkcyjna na sprzedaż Gdańsk, Kolnik;miasto (Gdańsk) znalezionej lokazizacji nie pasuje (Pruszcz Gdański) - lokalizacja pomorskie, gdański, Gdańsk
28923;SL150-422;dolnośląskie;wrocławski;Wrocław;Lokal handlowy na sprzedaż Wrocław, Krzyki;miasto (Wrocław) znalezionej lokazizacji nie pasuje (Kamieniec Wrocławski) - lokalizacja dolnośląskie, wrocławski, Wrocław
28972;SD150-168;dolnośląskie;wrocławski;Wrocław;Dom wolnostojący na sprzedaż Wrocław, Partynice;miasto (Wrocław) znalezionej lokazizacji nie pasuje (Kamieniec Wrocławski) - lokalizacja dolnośląskie, wrocławski, Wrocław
28989;SO144-90;podlaskie;suwalski;Suwałki;Inny komercyjny na sprzedaż Suwałki, Centrum;brak lokalizacji podlaskie, suwalski, Suwałki
29070;SO010-1482;opolskie;opolski;Opole;Hala produkcyjna na sprzedaż Opole;brak lokalizacji opolskie, opolski, Opole
29198;SG146-1328;dolnośląskie;legnicki;Legnica;Grunt inwestycyjny na sprzedaż Legnica;brak lokalizacji dolnośląskie, legnicki, Legnica
29205;SD144-458;podlaskie;suwalski;Bryzgiel;Dom wolnostojący na sprzedaż Bryzgiel, gm. Nowinka;brak lokalizacji podlaskie, suwalski, Bryzgiel
29228;SG079-1867;warmińsko-mazurskie;olecki;Kukówko;Działka budowlana na sprzedaż Kukówko;brak lokalizacji warmińsko-mazurskie, olecki, Kukówko
29322;WL146-762;wielkopolskie;leszczyński;Leszno;Lokal usługowy na wynajem Leszno;brak lokalizacji wielkopolskie, leszczyński, Leszno
29323;WL146-761;wielkopolskie;leszczyński;Leszno;Lokal biurowy na wynajem Leszno;brak lokalizacji wielkopolskie, leszczyński, Leszno
29325;WL146-755;wielkopolskie;leszczyński;Leszno;Lokal biurowy na wynajem Leszno;brak lokalizacji wielkopolskie, leszczyński, Leszno
29372;SG144-8;podlaskie;suwalski;Suwałki;Grunt rolny na sprzedaż Suwałki, Remienkiń;brak lokalizacji podlaskie, suwalski, Suwałki
29409;SG045-298;łódzkie;Wieluń;Raczyn;Grunt rolny na sprzedaż Raczyn;brak lokalizacji łódzkie, Wieluń, Raczyn
30054;SD158-324;mazowieckie;radomski;Radom;Dom wolnostojący na sprzedaż Radom;miasto (Radom) znalezionej lokazizacji nie pasuje (Drożanki) - lokalizacja mazowieckie, radomski, Radom
30164;SD158-293;mazowieckie;radomski;Radom;Dom wolnostojący na sprzedaż Radom, Nad Potokiem;miasto (Radom) znalezionej lokazizacji nie pasuje (Drożanki) - lokalizacja mazowieckie, radomski, Radom
30552;SO015-6299;dolnośląskie;jeleniogórski;Jelenia Góra;Hala produkcyjna na sprzedaż Jelenia Góra;brak lokalizacji dolnośląskie, jeleniogórski, Jelenia Góra
30693;SD147-203;warmińsko-mazurskie;mrągowski;Lelek;Dom bliźniak na sprzedaż Lelek;brak lokalizacji warmińsko-mazurskie, mrągowski, Lelek
30717;SG144-271;podlaskie;suwalski;Suwałki;Grunt inwestycyjny na sprzedaż Suwałki, osiedle Północ;brak lokalizacji podlaskie, suwalski, Suwałki
30718;SG144-270;podlaskie;suwalski;Suwałki;Grunt inwestycyjny na sprzedaż Suwałki, osiedle Północ;brak lokalizacji podlaskie, suwalski, Suwałki
30783;SG144-233;podlaskie;inny;Bakałarzewo;Działka budowlana na sprzedaż Bakałarzewo;brak lokalizacji podlaskie, inny, Bakałarzewo
30790;SG154-303;kujawsko-pomorskie;brodnicki;Górzno-Wybudowanie;Działka budowlana na sprzedaż Górzno-Wybudowanie;miasto (Górzno-Wybudowanie) znalezionej lokazizacji nie pasuje (Górzno) - lokalizacja kujawsko-pomorskie, brodnicki, Górzno-Wybudowanie
30936;SD144-136;podlaskie;suwalski;Suwałki;Dwór na sprzedaż Suwałki, gm. Filipów;brak lokalizacji podlaskie, suwalski, Suwałki
30990;SG020-7419;wielkopolskie;ostrzeszowski;Sieroszewice;Grunt rolny na sprzedaż Sieroszewice, Zamość;brak lokalizacji wielkopolskie, ostrzeszowski, Sieroszewice
31327;SO086-90;zachodniopomorskie;kamieński;Malechowo;Inny komercyjny na sprzedaż Malechowo;brak lokalizacji zachodniopomorskie, kamieński, Malechowo
31521;SG045-196;łódzkie;wieluński;Biała Parcela;Grunt inwestycyjny na sprzedaż Biała Parcela;miasto (Biała Parcela) znalezionej lokazizacji nie pasuje (Biała-Parcela) - lokalizacja łódzkie, wieluński, Biała Parcela
33088;SG144-495;podlaskie;suwalski;Suwałki;Działka budowlana na sprzedaż Suwałki, Zastawie;brak lokalizacji podlaskie, suwalski, Suwałki
34373;SG147-119;warmińsko-mazurskie;giżycki;Wola Bogaczkowska;na sprzedaż Działka Wola Bogaczkowska;brak lokalizacji warmińsko-mazurskie, giżycki, Wola Bogaczkowska
34509;SG181-319;śląskie;myszkowski;Suliszowice-Żarki;Działka budowlana na sprzedaż Suliszowice-Żarki, Szczypie;miasto (Suliszowice-Żarki) znalezionej lokazizacji nie pasuje (Suliszowice) - lokalizacja śląskie, myszkowski, Suliszowice-Żarki
34576;SG181-257;śląskie;częstochowski;Poraj;Grunt inwestycyjny na sprzedaż Poraj;brak lokalizacji śląskie, częstochowski, Poraj
34591;SO181-243;świętokrzyskie;włoszczowski;Boża Wola (pow.Włoszczowa);Inny komercyjny na sprzedaż Boża Wola (pow.Włoszczowa);brak lokalizacji świętokrzyskie, włoszczowski, Boża Wola (pow.Włoszczowa)
34592;SD181-242;świętokrzyskie;włoszczowski;Boża Wola (pow. Włoszczowa);Willa na sprzedaż Boża Wola (pow. Włoszczowa);brak lokalizacji świętokrzyskie, włoszczowski, Boża Wola (pow. Włoszczowa)
34636;SG181-207;śląskie;myszkowski;Ostrowy;Grunt leśny na sprzedaż Ostrowy;brak lokalizacji śląskie, myszkowski, Ostrowy
34645;SG181-199;śląskie;myszkowski;Koziegłowy-Rosochacz;Działka budowlana na sprzedaż Koziegłowy-Rosochacz, Rosochacz;miasto (Koziegłowy-Rosochacz) znalezionej lokazizacji nie pasuje (Koziegłowy) - lokalizacja śląskie, myszkowski, Koziegłowy-Rosochacz
34652;SG181-193;śląskie;myszkowski;Bobolice Niegowa;Grunt rolny na sprzedaż Bobolice Niegowa;brak lokalizacji śląskie, myszkowski, Bobolice Niegowa
35390;SG150-739;dolnośląskie;świdnicki;Sobótka;Działka budowlana na sprzedaż Sobótka;brak lokalizacji dolnośląskie, świdnicki, Sobótka
35608;SG147-499;warmińsko-mazurskie;giżycki;Nowe Sołdany;Działka budowlana na sprzedaż Nowe Sołdany;brak lokalizacji warmińsko-mazurskie, giżycki, Nowe Sołdany
37069;WL146-1432;wielkopolskie;leszczyński;Leszno;Lokal handlowy na wynajem Leszno, centrum;brak lokalizacji wielkopolskie, leszczyński, Leszno
37195;SD144-515;podlaskie;suwalski;Suwałki;Dom wolnostojący na sprzedaż Suwałki, os. Półnc II;brak lokalizacji podlaskie, suwalski, Suwałki
37342;SD045-54;łódzkie;Wieluń;Kraszkowice;Dwór na sprzedaż Kraszkowice;brak lokalizacji łódzkie, Wieluń, Kraszkowice
37602;SO182-120;zachodniopomorskie;policki;Szczecin;Budynek usługowy na sprzedaż Szczecin, Bezrzecze;brak lokalizacji zachodniopomorskie, policki, Szczecin
38943;SO030-7593;pomorskie;słupski;Słupsk;Budynek usługowy na sprzedaż Słupsk;miasto (Słupsk) znalezionej lokazizacji nie pasuje (Dobra) - lokalizacja pomorskie, słupski, Słupsk
40319;SD030-7931;zachodniopomorskie;koszaliński;Koszalin;Pałac na sprzedaż Koszalin, Polanów;miasto (Koszalin) znalezionej lokazizacji nie pasuje (Kraśnik Koszaliński) - lokalizacja zachodniopomorskie, koszaliński, Koszalin
40773;SG189-27;wielkopolskie;kaliski;Kalisz;Działka budowlana na sprzedaż Kalisz;brak lokalizacji wielkopolskie, kaliski, Kalisz
40928;SG189-28;wielkopolskie;kaliski;Kalisz;Grunt inwestycyjny na sprzedaż Kalisz;brak lokalizacji wielkopolskie, kaliski, Kalisz
40968;SG144-539;podlaskie;suwalski;Suwałki;Grunt inwestycyjny na sprzedaż Suwałki, os. Hańcza;brak lokalizacji podlaskie, suwalski, Suwałki
41021;SL,WL189-34;wielkopolskie;kaliski;Kalisz;Lokal biurowy na sprzedaż Kalisz;brak lokalizacji wielkopolskie, kaliski, Kalisz
41151;SG189-44;wielkopolskie;kaliski;Kalisz;Działka budowlana na sprzedaż Kalisz;brak lokalizacji wielkopolskie, kaliski, Kalisz
41416;SG189-48;wielkopolskie;kaliski;Kalisz;Grunt inwestycyjny na sprzedaż Kalisz;brak lokalizacji wielkopolskie, kaliski, Kalisz
41624;SD189-51;wielkopolskie;kaliski;Kalisz;Dom wolnostojący na sprzedaż Kalisz, Szczypiorno;brak lokalizacji wielkopolskie, kaliski, Kalisz
42142;WL041-15036;dolnośląskie;inny;Wrocław;Lokal usługowy na wynajem Wrocław, Fabryczna;brak lokalizacji dolnośląskie, inny, Wrocław
42238;WM144-546;podlaskie;suwalski;Suwałki;Mieszkanie na wynajem w kamienicy Suwałki, Centrum;brak lokalizacji podlaskie, suwalski, Suwałki
42239;WM144-545;podlaskie;suwalski;Suwałki;Mieszkanie na wynajem w kamienicy Suwałki, Centrum;brak lokalizacji podlaskie, suwalski, Suwałki
42240;WM144-544;podlaskie;suwalski;Suwałki;Mieszkanie na wynajem w kamienicy Suwałki, Centrum;brak lokalizacji podlaskie, suwalski, Suwałki
42351;SO144-549;podlaskie;suwalski;Suwałki;Kamienica na sprzedaż Suwałki, Północ II;brak lokalizacji podlaskie, suwalski, Suwałki
